No,Lat,Lon,Lane,Width,Length
06-0000040912,37.57047834,126.9981807,1,6,6.4
06-0000003634,37.5707836,126.996464,2,3.5,12.2
06-0000036809,37.57076132,126.9980594,7,6.5,28.1
06-0000026280,37.57076584,127.0004623,1,6.6,13.6
06-0000019333,37.57064073,126.9985573,1,4.7,7.7
06-0000015759,37.57070236,126.9992434,1,4.8,7.9
06-0000014149,37.57104371,127.0002535,1,4.4,11.7
06-0000014148,37.57102428,126.9997913,1,4.6,6.9
06-0000003648,37.57068074,126.9970656,8,8.3,24.5
06-0000003635,37.57057897,126.9953869,5,9.7,26.4
06-0000002088,37.57071353,126.9950958,1,3.3,9.8
06-0000002111,37.57026344,126.9921718,4,5.5,14.6
06-0000002049,37.57069953,126.992111,3,7.2,10.6
06-0000036850,37.57044393,126.9919252,7,5.5,23.8
06-0000036537,37.57031027,126.9897521,6,9.7,32.5
06-0000011197,37.57047099,126.9923272,7,5.5,23.9
06-0000002113,37.57010493,126.9894814,1,6.3,21.2
06-0000002096,37.57037521,126.9948846,1,3.8,9.2
06-0000002095,37.5704153,126.9953408,1,3.9,11.5
06-0000002090,37.57064847,126.9894903,1,1.5,4
06-0000002089,37.57068055,126.9937966,1,4,6.6
06-0000045936,37.5705128,126.9810453,3,4,11.2
06-0000044681,37.57039783,126.9829814,6,7.7,18.8
06-0000002097,37.57037179,126.9785548,1,4.5,8.4
06-0000002119,37.57002667,126.979923,2,4.5,9.3
06-0000025858,37.57004063,126.9829553,6,6.7,19.1
06-0000031139,37.5702093,126.9828101,7,6.8,26.6
06-0000025859,37.56997416,126.9827016,1,5.5,8
06-0000025856,37.57042655,126.9827731,1,4.7,8.2
06-0000002115,37.57004614,126.9784793,1,4.7,13.7
06-0000002104,37.57020949,126.9795222,9,9.8,33.7
06-0000002099,37.57038882,126.9810406,3,6,11.7
06-0000002093,37.57042534,126.9793489,3,6.4,13.5
06-0000027570,37.57128205,127.001943,3,6.5,14
06-0000033434,37.56986506,127.0050462,1,4,8.8
06-0000029263,37.56988833,127.0067285,1,4,6.7
06-0000029261,37.5698588,127.0039275,1,4,7.6
06-0000024046,37.5698157,127.0068069,2,3.9,6.2
06-0000024045,37.56982253,127.0066626,2,4.1,8
06-0000024040,37.56980368,127.0045852,2,4.9,6.3
06-0000024128,37.56985412,127.0033436,1,4,5.9
06-0000024127,37.56985818,127.0027696,1,2.9,6.8
06-0000024123,37.56978762,127.0022925,2,6.4,7.3
06-0000024121,37.56976294,127.0018095,2,4.7,7
06-0000014150,37.57113255,127.0014838,1,5.9,9.2
06-0000013773,37.57091739,127.0050261,1,5,9
06-0000013772,37.57089786,127.0038968,1,6,10.3
06-0000013771,37.57104316,127.0037715,6,7.8,26.8
06-0000013770,37.57119356,127.0039159,1,5.9,8.9
06-0000013030,37.57124323,127.0063557,1,4.6,11.6
06-0000029843,37.57066597,127.0019588,7,7.7,25.5
06-0000000033,37.57048046,126.98768,8,9,25
06-0000002105,37.57033817,126.9841107,1,2,4.7
06-0000036415,37.5702279,126.9881452,8,9.4,33
06-0000029613,37.57043083,126.9886578,1,5.3,30.5
06-0000036414,37.57019411,126.9873674,6,9.2,27
06-0000031507,37.57039998,126.9832049,1,7.2,4.7
06-0000022077,37.56992497,126.9878366,7,10.6,28.2
06-0000002117,37.57002993,126.9869339,1,4.7,6.2
06-0000002116,37.57005581,126.9844651,1,3.8,6.5
06-0000002114,37.57006995,126.9840047,1,4.8,5.6
06-0000002106,37.57034631,126.9856787,1,5.7,5
06-0000000025,37.5700619,126.9885667,1,5,9.3
06-0000013029,37.57110827,127.0065403,6,12,27.2
06-0000015712,37.57131608,127.0067214,2,7,16
06-0000040029,37.57098924,127.0084871,2,2.7,12.9
06-0000040030,37.57098784,127.0086517,1,2.7,9.4
06-0000040031,37.57106267,127.0088749,2,5.4,7
06-0000029288,37.57115481,127.0091592,9,8,30
06-0000026346,37.57095331,127.0066877,1,3.1,9.8
06-0000019367,37.57328107,127.0074123,1,3.8,15
06-0000014144,37.57361721,127.0067114,1,3.4,5.6
06-0000013774,37.5699247,127.0078472,1,3,8.4
06-0000013622,37.57149403,127.0088987,7,7.7,27.6
06-0000013618,37.57124087,127.0087516,6,7.8,23.7
06-0000030653,37.57283129,127.0076696,6,6.1,19.7
